Data;ID_venda;Filial;Vendedor;Nome_produto;Nome_cliente;Genero_cliente;Forma_pagamento
28/03/2021;251185;Curitiba;Sr. Luan Fernandes;Palace;Alexandre da Cruz;Feminino;Cartão de crédito
18/03/2021;850207;Porto Alegre;Davi Luiz Farias;Mercurial;Lavínia Cardoso;Masculino;Cartão de débito
22/03/2021;991817;Curitiba;Gael Henrique Siqueira;Melissa;Fernanda da Rocha;Masculino;Cartão de débito
10/03/2021;545493;Porto Alegre;Davi Luiz Farias;Vermelha;Sr. Calebe Fogaça;Masculino;Cartão de débito
02/03/2021;984931;Rio de Janeiro;João Miguel Fonseca;Air Force 1;Dr. Rael Sá;Masculino;PIX
20/03/2021;930247;São Paulo;Pietro Alves;Rasteira;Murilo Nunes;Feminino;PIX
18/03/2021;411672;São Paulo;Dr. Lorenzo Camargo;Dunk;Dra. Daniela Aparecida;Masculino;Cartão de débito
24/03/2021;662576;Porto Alegre;Dr. Davi Luiz Rezende;Palha;João Lucas Campos;Masculino;PIX
01/03/2021;447533;Porto Alegre;Mathias Leão;Vizzano;Gabrielly Rocha;Masculino;Cartão de crédito
31/03/2021;612209;Rio de Janeiro;Rafaela Rodrigues;Vermelha;Dra. Gabriela da Luz;Masculino;PIX
09/03/2021;517561;São Paulo;Dr. Lorenzo Camargo;Beira Rio;Vicente das Neves;Masculino;PIX
29/03/2021;673458;Curitiba;Oliver Sales;Air Force 1;Anna Liz da Conceição;Feminino;Cartão de crédito
07/03/2021;213817;Curitiba;Samuel das Neves;Predator;Enrico Silva;Feminino;Cartão de crédito
26/03/2021;260965;Porto Alegre;Enzo Gabriel Guerra;Predator;Dr. Felipe Oliveira;Masculino;PIX
08/03/2021;608805;São Paulo;Dr. Lorenzo Camargo;Topper;Rodrigo Nascimento;Masculino;Cartão de débito
14/03/2021;197994;Porto Alegre;Isabelly Cirino;Tiririca;Matheus da Mata;Feminino;Cartão de débito
27/03/2021;486089;Belo Horizonte;Thales Viana;Mercurial;Arthur Lopes;Feminino;Cartão de débito
05/03/2021;663153;Porto Alegre;Mathias Leão;Jordan;Sra. Luana Rocha;Masculino;Cartão de débito
22/03/2021;980196;Belo Horizonte;Thales Viana;Dunk;Lorenzo Guerra;Masculino;Cartão de crédito
19/03/2021;479314;Belo Horizonte;Dr. Marcelo Teixeira;Blazer;Joaquim Machado;Masculino;PIX
25/03/2021;754096;Belo Horizonte;Sr. Valentim Duarte;Beira Rio;Ana Cecília Moreira;Masculino;PIX
18/03/2021;647185;Curitiba;Luiz Henrique Nogueira;Blazer;Ayla Borges;Feminino;Cartão de débito
18/03/2021;416740;Rio de Janeiro;Rafaela Rodrigues;Melissa;Srta. Eloá Viana;Feminino;Cartão de crédito
18/03/2021;637332;Curitiba;Gael Henrique Siqueira;Tiririca;Benício da Mata;Masculino;PIX
16/03/2021;919887;Porto Alegre;Isabelly Cirino;Cambio;Juan Fonseca;Masculino;Cartão de débito
13/03/2021;242204;Rio de Janeiro;João Miguel Fonseca;Cambio;Maria Flor Araújo;Masculino;Cartão de crédito
28/03/2021;544986;São Paulo;Murilo Cavalcante;Papete;Yan das Neves;Feminino;Cartão de crédito
06/03/2021;667292;São Paulo;Pedro Lucas da Luz;Blazer;Luana Santos;Feminino;Cartão de débito
07/03/2021;150993;Porto Alegre;Enzo Gabriel Guerra;Dunk;Caleb Nascimento;Masculino;Cartão de crédito
17/03/2021;452504;Rio de Janeiro;João da Luz;Dunk;Henrique Oliveira;Masculino;Cartão de débito
16/03/2021;938809;Belo Horizonte;Clarice Nogueira;Blazer;Isabel Ribeiro;Masculino;Cartão de débito
29/03/2021;702682;Curitiba;Samuel das Neves;Tiririca;Stephany Santos;Feminino;Cartão de débito
16/03/2021;571520;São Paulo;Pedro Lucas da Luz;Palha;Luan Almeida;Masculino;Cartão de débito
13/03/2021;932340;Curitiba;Samuel das Neves;Melissa;Nathan Cirino;Feminino;PIX
03/03/2021;112934;São Paulo;Nathan Montenegro;Schutz;Henry Gabriel Ramos;Masculino;Cartão de crédito
06/03/2021;155761;Belo Horizonte;Maitê Jesus;Beira Rio;Luana Rocha;Feminino;Cartão de débito
22/03/2021;905593;São Paulo;Theo da Cruz;Lacoste;Henry Sousa;Masculino;PIX
29/03/2021;176567;Belo Horizonte;Thales Viana;Vermelha;Isabela Oliveira;Feminino;Cartão de débito
08/03/2021;262861;Curitiba;Samuel das Neves;Havaianas;Sra. Maria Fernanda Andrade;Feminino;Cartão de débito
20/03/2021;902434;Curitiba;Oliver Sales;Air Force 1;Vitória Pastor;Feminino;Cartão de crédito
14/03/2021;934258;Rio de Janeiro;João Miguel Fonseca;Copa;Srta. Stephany Aragão;Feminino;Cartão de crédito
12/03/2021;230986;Curitiba;Oliver Sales;Vermelha;Pedro Vargas;Masculino;Cartão de débito
23/03/2021;949137;São Paulo;Murilo Cavalcante;Havaianas;Mirella Nunes;Masculino;Cartão de crédito
21/03/2021;837156;Curitiba;Oliver Sales;X;Gabrielly Pereira;Feminino;PIX
31/03/2021;733053;Curitiba;Samuel das Neves;Havaianas;Ana Clara Novaes;Feminino;Cartão de crédito
04/03/2021;573716;São Paulo;Pedro Lucas da Luz;Topper;Ana Beatriz Macedo;Masculino;Cartão de crédito
02/03/2021;491127;Rio de Janeiro;João Miguel Fonseca;Palha;Srta. Helena Caldeira;Feminino;PIX
04/03/2021;600395;Rio de Janeiro;João da Luz;Cambio;Heloísa Abreu;Feminino;PIX
29/03/2021;913846;Curitiba;Oliver Sales;Palha;Cauã Peixoto;Feminino;PIX
16/03/2021;675585;São Paulo;Valentim da Paz;Rasteira;Luan Nascimento;Feminino;PIX
11/03/2021;406526;Belo Horizonte;Thales Viana;Melissa;João Gabriel Cirino;Masculino;Cartão de crédito
11/03/2021;385310;Rio de Janeiro;Dr. Breno Ramos;Melissa;Oliver Cardoso;Masculino;Cartão de débito
06/03/2021;714825;São Paulo;Pedro Lucas da Luz;Predator;Ravi Rodrigues;Masculino;Cartão de débito
04/03/2021;581552;Belo Horizonte;Dr. Marcelo Teixeira;Palace;Dante Souza;Masculino;PIX
23/03/2021;482091;Belo Horizonte;Dr. Marcelo Teixeira;Rasteira;Luara Dias;Feminino;PIX
06/03/2021;518489;Rio de Janeiro;Pedro Aparecida;Havaianas;Juliana Porto;Feminino;Cartão de débito
20/03/2021;473452;São Paulo;Nathan Montenegro;Dunk;Dra. Agatha Fonseca;Feminino;Cartão de débito
25/03/2021;190844;Porto Alegre;Enzo Gabriel Guerra;Vizzano;Augusto Fonseca;Feminino;PIX
17/03/2021;695330;Belo Horizonte;Clarice Nogueira;Palace;Mirella Castro;Masculino;PIX
29/03/2021;905228;São Paulo;Valentim da Paz;Vermelha;Sophia Viana;Feminino;Cartão de débito
22/03/2021;832617;Rio de Janeiro;João Miguel Fonseca;Dunk;Rael Rezende;Feminino;PIX
18/03/2021;201196;Rio de Janeiro;Dr. Luigi Nascimento;Copa;Matheus Siqueira;Masculino;Cartão de crédito
29/03/2021;210958;São Paulo;Pedro Lucas da Luz;Jordan;Dr. Théo Moraes;Masculino;Cartão de débito
17/03/2021;375981;São Paulo;Pedro Lucas da Luz;Mercurial;Maria Laura Pimenta;Feminino;Cartão de débito
08/04/2021;129034;São Paulo;Murilo Cavalcante;Air Force 1;Ana Vitória Gomes;Masculino;PIX
26/04/2021;444876;Porto Alegre;Igor Porto;Jordan;Sra. Luana Rezende;Masculino;Cartão de crédito
17/04/2021;628930;Rio de Janeiro;João da Luz;Topper;Sarah da Rocha;Feminino;Cartão de débito
20/04/2021;580822;Rio de Janeiro;Rafaela Rodrigues;Nemeziz;Maria Cecília Moura;Masculino;Cartão de crédito
15/04/2021;125478;Belo Horizonte;Francisco Macedo;Melissa;Ryan Garcia;Masculino;Cartão de crédito
29/04/2021;990519;Curitiba;Valentim Barbosa;Havaianas;Rafaela Camargo;Masculino;Cartão de crédito
29/04/2021;125286;Rio de Janeiro;João Miguel Fonseca;Alpargata;Lorena Câmara;Feminino;PIX
21/04/2021;267614;Porto Alegre;Enzo Gabriel Guerra;Lacoste;Maria Cecília Borges;Feminino;Cartão de débito
13/04/2021;153589;Rio de Janeiro;João Miguel Fonseca;Alpargata;Maysa Casa Grande;Feminino;Cartão de débito
21/04/2021;767755;Rio de Janeiro;João da Luz;Vermelha;Nicolas Guerra;Feminino;Cartão de débito
06/04/2021;332616;Belo Horizonte;Dr. Luan Borges;Anabela;Agatha Aragão;Feminino;Cartão de débito
09/04/2021;619688;São Paulo;Theo da Cruz;Blazer;André da Cunha;Masculino;PIX
04/04/2021;400601;Curitiba;Pedro Henrique Casa Grande;Lacoste;Maria Eduarda Aparecida;Masculino;Cartão de débito
13/04/2021;928886;Porto Alegre;Dr. Davi Luiz Rezende;Palha;Dr. Noah Pinto;Masculino;PIX
06/04/2021;282766;Curitiba;Sr. Luan Fernandes;Air Force 1;Maysa da Paz;Feminino;Cartão de débito
11/04/2021;539164;Curitiba;Oliver Sales;Lacoste;Thiago Borges;Masculino;PIX
16/04/2021;592152;Rio de Janeiro;Dr. Breno Ramos;X;Dr. Breno Almeida;Feminino;PIX
09/04/2021;811859;Curitiba;Valentim Barbosa;Palha;Srta. Giovanna Pastor;Feminino;Cartão de débito
06/04/2021;338268;Porto Alegre;Enzo Gabriel Guerra;Vermelha;José Pedro Dias;Masculino;PIX
04/04/2021;794913;Curitiba;Valentim Barbosa;Vizzano;João Miguel Oliveira;Feminino;Cartão de débito
22/04/2021;652867;Curitiba;Valentim Barbosa;Tiririca;Ana Silveira;Feminino;Cartão de débito
10/04/2021;460211;Belo Horizonte;Francisco Macedo;Mercurial;Thomas Alves;Masculino;Cartão de débito
30/04/2021;695051;Curitiba;Samuel das Neves;Havaianas;Maria Alice Aparecida;Masculino;Cartão de débito
26/04/2021;993813;Rio de Janeiro;João da Luz;Alpargata;Dra. Lunna Silva;Feminino;PIX
07/04/2021;573053;Curitiba;Gael Henrique Siqueira;X;Thomas Moreira;Masculino;PIX
28/04/2021;978290;Curitiba;Gael Henrique Siqueira;Anabela;Isabel Barbosa;Masculino;Cartão de débito
16/04/2021;426510;Rio de Janeiro;Pedro Aparecida;Mercurial;Luiz Miguel Pacheco;Feminino;PIX
03/04/2021;271447;Porto Alegre;Mathias Leão;Nemeziz;Matheus Rodrigues;Masculino;PIX
13/04/2021;543611;São Paulo;Pietro Alves;Papete;Luna Albuquerque;Masculino;PIX
19/04/2021;232726;Curitiba;Samuel das Neves;Mercurial;Hadassa da Luz;Feminino;Cartão de crédito
22/04/2021;446801;São Paulo;Pedro Lucas da Luz;X;Theodoro Siqueira;Masculino;Cartão de crédito
26/04/2021;617479;Porto Alegre;Isabelly Cirino;Melissa;Luana Freitas;Feminino;PIX
06/04/2021;116519;Rio de Janeiro;Pedro Aparecida;Anabela;Emanuella Barros;Feminino;PIX
07/04/2021;426127;São Paulo;Theo da Cruz;Blazer;Heloísa Gomes;Feminino;Cartão de crédito
04/04/2021;821043;Rio de Janeiro;Rafaela Rodrigues;Anabela;Luiz Gustavo Brito;Masculino;PIX
02/04/2021;673328;Rio de Janeiro;Leandro da Costa;Mercurial;Carlos Eduardo Aragão;Masculino;Cartão de débito
19/04/2021;137358;Belo Horizonte;Clarice Nogueira;Nemeziz;Davi Santos;Masculino;Cartão de crédito
15/04/2021;256732;São Paulo;Theo da Cruz;Air Force 1;Ana Lívia Souza;Masculino;Cartão de débito
11/04/2021;592212;Curitiba;Luiz Henrique Nogueira;Blazer;Srta. Ana Júlia Gomes;Masculino;Cartão de crédito
26/04/2021;464327;Curitiba;Pedro Henrique Casa Grande;X;Cecília Jesus;Masculino;PIX
05/04/2021;992733;Curitiba;Gael Henrique Siqueira;Copa;Lavínia Fonseca;Feminino;Cartão de débito
26/04/2021;461203;Belo Horizonte;Dr. Luan Borges;Rasteira;Davi Lucca Castro;Feminino;PIX
06/04/2021;505699;Rio de Janeiro;Pedro Aparecida;Tiririca;Luísa Fonseca;Feminino;Cartão de crédito
20/04/2021;316226;Porto Alegre;Dr. Davi Luiz Rezende;Rasteira;Zoe Silva;Masculino;Cartão de crédito
24/04/2021;359944;Belo Horizonte;Dr. Marcelo Teixeira;Tiririca;Ana Luiza Aragão;Feminino;PIX
21/04/2021;730410;Belo Horizonte;Dr. Marcelo Teixeira;Lacoste;Srta. Ana Liz Freitas;Feminino;Cartão de débito
09/04/2021;850163;Curitiba;Luiz Henrique Nogueira;Melissa;Luana Fogaça;Masculino;Cartão de crédito
02/04/2021;894846;Porto Alegre;Marina da Mota;Palha;Dra. Bruna Gonçalves;Feminino;PIX
29/04/2021;188303;Belo Horizonte;Thales Viana;X;Maria Flor Casa Grande;Feminino;PIX
08/04/2021;278509;São Paulo;Theo da Cruz;Dunk;Ravi Lucca Casa Grande;Masculino;Cartão de débito
05/04/2021;621514;São Paulo;Dr. Lorenzo Camargo;Vizzano;Yuri Macedo;Masculino;Cartão de débito
11/04/2021;998331;Rio de Janeiro;Leandro da Costa;Palha;Anna Liz Vieira;Feminino;PIX
26/04/2021;986625;Belo Horizonte;Francisco Macedo;Topper;Pietra Cavalcanti;Feminino;Cartão de crédito
12/04/2021;963593;Rio de Janeiro;Pedro Aparecida;Papete;Bruno Ferreira;Masculino;Cartão de débito
25/04/2021;154833;Rio de Janeiro;Rafaela Rodrigues;Alpargata;Sra. Emanuella da Costa;Masculino;Cartão de débito
30/04/2021;827206;São Paulo;Pietro Alves;Predator;Bella Moraes;Feminino;Cartão de débito
12/04/2021;533092;São Paulo;Theo da Cruz;Palha;Dr. Paulo Sales;Masculino;Cartão de débito
29/04/2021;685974;Belo Horizonte;Francisco Macedo;Alpargata;Isabel Albuquerque;Feminino;Cartão de crédito
17/04/2021;436573;Curitiba;Luiz Henrique Nogueira;Lacoste;Alana das Neves;Feminino;PIX
27/04/2021;270533;Curitiba;Sr. Luan Fernandes;Palace;Alana da Costa;Feminino;Cartão de crédito
06/04/2021;831921;Rio de Janeiro;Rafaela Rodrigues;Alpargata;Vitor da Cruz;Masculino;Cartão de débito
20/04/2021;482108;São Paulo;Dr. Lorenzo Camargo;Mercurial;Sr. Ravy Moraes;Feminino;PIX
05/04/2021;278260;Curitiba;Oliver Sales;Alpargata;Stella Aparecida;Feminino;PIX
14/04/2021;974273;São Paulo;Dr. Lorenzo Camargo;Palace;Sr. Bruno Santos;Masculino;PIX
11/04/2021;291376;Rio de Janeiro;Leandro da Costa;Anabela;Lucas Gabriel Gonçalves;Feminino;Cartão de débito
30/04/2021;693312;São Paulo;Dr. Lorenzo Camargo;Mercurial;Dra. Sabrina Cavalcanti;Masculino;PIX
29/04/2021;861167;Porto Alegre;Mathias Leão;Topper;Maria Luiza Cardoso;Feminino;Cartão de crédito
21/04/2021;778340;Rio de Janeiro;Leandro da Costa;Palace;Maria Fonseca;Feminino;Cartão de débito
22/04/2021;538217;Belo Horizonte;Dr. Marcelo Teixeira;Predator;Emanuelly Fogaça;Feminino;Cartão de crédito
22/04/2021;967444;Rio de Janeiro;Leandro da Costa;Schutz;José Pedro Borges;Feminino;Cartão de débito
07/04/2021;511832;São Paulo;Nathan Montenegro;Topper;Ana Carolina Borges;Masculino;PIX
05/04/2021;642008;Belo Horizonte;Thales Viana;Alpargata;Dr. Dante Gonçalves;Masculino;Cartão de crédito
20/04/2021;761954;Rio de Janeiro;Leandro da Costa;Palha;Dra. Isis Machado;Masculino;Cartão de débito
26/04/2021;882530;São Paulo;Murilo Cavalcante;Blazer;Mariah da Mota;Feminino;PIX
09/04/2021;762663;Belo Horizonte;Dr. Marcelo Teixeira;Vermelha;Dr. Bernardo Barros;Feminino;PIX
16/04/2021;236394;Rio de Janeiro;Pedro Aparecida;Vizzano;Yago Guerra;Masculino;Cartão de crédito
18/04/2021;131671;Belo Horizonte;Maitê Jesus;Cambio;Gabriel Sales;Feminino;Cartão de crédito
30/04/2021;288492;São Paulo;Theo da Cruz;Vizzano;Maria Clara Nogueira;Masculino;Cartão de crédito
05/04/2021;470491;São Paulo;Pedro Lucas da Luz;Predator;Fernando Andrade;Feminino;Cartão de crédito
27/04/2021;872588;Porto Alegre;Enzo Gabriel Guerra;Tiririca;Olívia Vasconcelos;Feminino;Cartão de débito
02/04/2021;544308;São Paulo;Pietro Alves;X;Ravi Lucca Moreira;Feminino;Cartão de crédito
26/04/2021;345426;Rio de Janeiro;Leandro da Costa;Rasteira;Ana Lívia Vasconcelos;Feminino;Cartão de débito
06/04/2021;607982;São Paulo;Pedro Lucas da Luz;Palace;Cecília Aparecida;Feminino;PIX
21/04/2021;340154;Porto Alegre;Davi Luiz Farias;Palace;Isabelly Cavalcante;Feminino;PIX
14/04/2021;275245;São Paulo;Dr. Lorenzo Camargo;Air Force 1;Dr. Cauã Moura;Feminino;Cartão de crédito
29/04/2021;638714;Porto Alegre;Dr. Davi Luiz Rezende;Havaianas;Dr. João Gabriel Sampaio;Feminino;Cartão de crédito
23/04/2021;537353;Belo Horizonte;Dr. Luan Borges;Blazer;Dr. Bernardo Sampaio;Masculino;PIX
12/04/2021;244014;Curitiba;Pedro Henrique Casa Grande;Dunk;Pedro Henrique Freitas;Masculino;Cartão de crédito
02/04/2021;762074;Curitiba;Luiz Henrique Nogueira;Lacoste;Dr. Isaac Pimenta;Masculino;Cartão de crédito
01/04/2021;200331;Curitiba;Sr. Luan Fernandes;Tiririca;Vinícius Cardoso;Masculino;Cartão de débito
03/04/2021;684499;Porto Alegre;Igor Porto;Palace;Ana Cecília Brito;Masculino;Cartão de crédito
20/04/2021;247337;Curitiba;Pedro Henrique Casa Grande;Lacoste;Maria Helena Pimenta;Masculino;Cartão de crédito
25/04/2021;724448;Porto Alegre;Davi Luiz Farias;X;Emanuelly Melo;Feminino;Cartão de débito
30/04/2021;943059;Rio de Janeiro;João da Luz;Predator;Joana Fogaça;Masculino;Cartão de débito
11/04/2021;600615;Rio de Janeiro;João da Luz;Cambio;Maysa da Luz;Feminino;Cartão de crédito
25/04/2021;870998;Rio de Janeiro;Dr. Luigi Nascimento;Cambio;Maria Fernanda Abreu;Feminino;Cartão de débito
27/04/2021;127431;Belo Horizonte;Dr. Luan Borges;Blazer;Giovanna Fernandes;Feminino;Cartão de crédito
27/04/2021;730909;São Paulo;Valentim da Paz;Palha;Antônio Nunes;Masculino;PIX
08/04/2021;734036;Belo Horizonte;Maitê Jesus;Beira Rio;Bella Cirino;Masculino;PIX
19/04/2021;160863;Curitiba;Pedro Henrique Casa Grande;Vizzano;Alexia Almeida;Feminino;Cartão de crédito
18/04/2021;464948;São Paulo;Valentim da Paz;Cambio;Anna Liz Alves;Masculino;Cartão de débito
09/04/2021;289169;Porto Alegre;Mathias Leão;Rasteira;Dr. Davi Luiz Rodrigues;Feminino;Cartão de débito
04/04/2021;103882;São Paulo;Pedro Lucas da Luz;Papete;Leandro Ferreira;Masculino;PIX
20/04/2021;242844;Porto Alegre;Isabelly Cirino;Anabela;Levi da Mota;Feminino;PIX
14/04/2021;701575;Rio de Janeiro;Dr. Luigi Nascimento;Air Force 1;Brenda Albuquerque;Feminino;PIX
24/04/2021;743159;Porto Alegre;Dr. Davi Luiz Rezende;Air Force 1;Marina Macedo;Feminino;Cartão de débito
26/04/2021;153794;Belo Horizonte;Clarice Nogueira;Jordan;Oliver Rodrigues;Masculino;Cartão de débito
23/04/2021;104457;Belo Horizonte;Maitê Jesus;Topper;Augusto Freitas;Masculino;Cartão de crédito
11/04/2021;119223;Curitiba;Sr. Luan Fernandes;Cambio;Hellena Carvalho;Feminino;Cartão de débito
30/04/2021;452732;Porto Alegre;Isabelly Cirino;Dunk;Amanda Caldeira;Masculino;PIX
09/04/2021;139077;Belo Horizonte;Maitê Jesus;Havaianas;Luana Casa Grande;Masculino;Cartão de crédito
23/04/2021;900469;Belo Horizonte;Clarice Nogueira;Beira Rio;Maria Júlia Borges;Masculino;Cartão de crédito
08/05/2021;997230;Belo Horizonte;Francisco Macedo;Copa;Maria Vitória Mendonça;Masculino;Cartão de crédito
26/05/2021;956027;Belo Horizonte;Thales Viana;X;Hadassa Machado;Masculino;PIX
20/05/2021;842048;Curitiba;Gael Henrique Siqueira;Schutz;Stephany Caldeira;Masculino;Cartão de débito
14/05/2021;902591;Rio de Janeiro;João Miguel Fonseca;Alpargata;Luiz Henrique Sampaio;Masculino;PIX
23/05/2021;124263;Porto Alegre;Enzo Gabriel Guerra;Papete;Maya Caldeira;Feminino;Cartão de crédito
24/05/2021;680249;Porto Alegre;Dr. Davi Luiz Rezende;Schutz;Aylla da Mata;Masculino;Cartão de débito
19/05/2021;653543;Rio de Janeiro;Pedro Aparecida;Lacoste;Elisa Campos;Masculino;Cartão de débito
21/05/2021;687243;Porto Alegre;Enzo Gabriel Guerra;Dunk;Beatriz Pastor;Feminino;Cartão de débito
17/05/2021;216243;Belo Horizonte;Clarice Nogueira;Topper;Diego Nascimento;Masculino;Cartão de crédito
16/05/2021;854530;Porto Alegre;Dr. Davi Luiz Rezende;Tiririca;Gael da Mata;Masculino;Cartão de débito
20/05/2021;569843;Porto Alegre;Dr. Davi Luiz Rezende;Vermelha;Eduarda Cunha;Masculino;PIX
09/05/2021;497970;Curitiba;Sr. Luan Fernandes;Jordan;Davi Lucca Pereira;Masculino;Cartão de débito
25/05/2021;746650;São Paulo;Theo da Cruz;Predator;Srta. Larissa Aparecida;Masculino;PIX
26/05/2021;142948;Rio de Janeiro;Dr. Breno Ramos;Vermelha;Levi da Cunha;Masculino;PIX
04/05/2021;313487;Rio de Janeiro;Leandro da Costa;Lacoste;Srta. Joana Albuquerque;Feminino;Cartão de crédito
15/05/2021;709659;Belo Horizonte;Thales Viana;Alpargata;Emanuella Garcia;Masculino;Cartão de crédito
13/05/2021;450090;São Paulo;Murilo Cavalcante;Topper;Sra. Hadassa Ribeiro;Feminino;PIX
28/05/2021;244190;Porto Alegre;Davi Luiz Farias;Beira Rio;Catarina da Cruz;Feminino;PIX
01/05/2021;400670;Curitiba;Gael Henrique Siqueira;Anabela;Luan Pimenta;Feminino;PIX
08/05/2021;915617;São Paulo;Murilo Cavalcante;Dunk;Laura da Cunha;Masculino;Cartão de crédito
24/05/2021;893208;Porto Alegre;Davi Luiz Farias;Beira Rio;Ana Vitória Jesus;Feminino;PIX
11/05/2021;676231;Belo Horizonte;Dr. Marcelo Teixeira;Jordan;Sra. Maria Silveira;Feminino;Cartão de crédito
